t slowdata fastdata zero 
1.3775690615 -0.1859875731 0.2913760289 0.0000000000 
1.4292213238 -0.1898931605 0.3208237188 0.0000000000 
1.5633754177 -0.1849663078 0.3889765077 0.0000000000 
1.6975295116 -0.1633837923 0.4470494135 0.0000000000 
1.8316836055 -0.1301893226 0.4970173572 0.0000000000 
1.9658376994 -0.0891792856 0.5404204620 0.0000000000 
2.0999917933 -0.0432119563 0.5784683835 0.0000000000 
2.2341458872 0.0055873176 0.6121098153 0.0000000000 
2.4341458872 0.0802897175 0.6556659168 0.0000000000 
2.6341458872 0.1544255006 0.6928966306 0.0000000000 
2.8341458872 0.2259492305 0.7251033021 0.0000000000 
3.0341458872 0.2936516563 0.7532498657 0.0000000000 
3.2341458872 0.3568874232 0.7780591277 0.0000000000 
3.4341458872 0.4154142588 0.8000712082 0.0000000000 
3.6341458872 0.4692506887 0.8196954947 0.0000000000 
3.8341458872 0.5185640398 0.8372519955 0.0000000000 
4.0341458872 0.5635869208 0.8530033977 0.0000000000 
4.2341458872 0.6045864313 0.8671687356 0.0000000000 
4.4341458872 0.6418547520 0.8799293232 0.0000000000 
4.6341458872 0.6756932708 0.8914367230 0.0000000000 
4.8341458872 0.7063932918 0.9018218162 0.0000000000 
5.0341458872 0.7342264978 0.9112003796 0.0000000000 
5.2341458872 0.7594458966 0.9196749306 0.0000000000 
5.4341458872 0.7822882557 0.9273355017 0.0000000000 
5.6341458872 0.8029729531 0.9342617426 0.0000000000 
5.8341458872 0.8217005761 0.9405250524 0.0000000000 
6.0341458872 0.8386535679 0.9461897826 0.0000000000 
6.2341458872 0.8539980637 0.9513138312 0.0000000000 
6.4341458872 0.8678854677 0.9559492151 0.0000000000 
6.6341458872 0.8804534762 0.9601427550 0.0000000000 
6.8341458872 0.8918269872 0.9639367136 0.0000000000 
7.0341458872 0.9021191635 0.9673692860 0.0000000000 
7.2341458872 0.9114325461 0.9704749857 0.0000000000 
7.4341458872 0.9198600580 0.9732849944 0.0000000000 
7.6341458872 0.9274858697 0.9758274949 0.0000000000 
7.8341458872 0.9343861839 0.9781279738 0.0000000000 
8.0341458872 0.9406299737 0.9802094854 0.0000000000 
8.2341458872 0.9462796685 0.9820928834 0.0000000000 
8.4341458872 0.9513917747 0.9837970312 0.0000000000 
8.6341458872 0.9560174332 0.9853389929 0.0000000000 
8.8341458872 0.9602029241 0.9867342068 0.0000000000 
9.0341458872 0.9639901262 0.9879966408 0.0000000000 
9.2341458872 0.9674169357 0.9891389330 0.0000000000 
9.4341458872 0.9705176451 0.9901725179 0.0000000000 
9.6341458872 0.9733232847 0.9911077412 0.0000000000 
9.8341458872 0.9758619329 0.9919539640 0.0000000000 
10.0000000000 0.9777828864 0.9925942857 0.0000000000 
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
