w ang1 ang2 absval 
0.6165950019 -0.6359605074 -1.7410253635 0.7071106084 
0.6456542290 -0.6508072435 -1.7974354995 0.6935651140 
0.6760829754 -0.6655027266 -1.8544892997 0.6799555355 
0.7079457844 -0.6800464391 -1.9121240850 0.6663153108 
0.7413102413 -0.6944425940 -1.9702754477 0.6526756306 
0.7762471166 -0.7086999951 -2.0288774781 0.6390649697 
0.8128305162 -0.7228317607 -2.0878629808 0.6255087090 
0.8511380382 -0.7368549175 -2.1471636838 0.6120288589 
0.8912509381 -0.7507898743 -2.2067104417 0.5986438891 
0.9332543008 -0.7646597885 -2.2664334333 0.5853686681 
0.9772372210 -0.7784898468 -2.3262623570 0.5722145089 
1.0471285481 -0.7992181595 -2.4160499193 0.5527266784 
1.0964781961 -0.8130649007 -2.4758346872 0.5399029119 
1.1481536215 -0.8269642969 -2.5354783242 0.5272147289 
1.2022644346 -0.8409406148 -2.5949107447 0.5146604825 
1.2589254118 -0.8550157227 -2.6540624408 0.5022367300 
1.3182567386 -0.8692084109 -2.7128646788 0.4899387132 
1.3803842646 -0.8835338108 -2.7712496995 0.4777608463 
1.4454397707 -0.8980029260 -2.8291509235 0.4656971944 
1.5135612484 -0.9126222911 -2.8865031646 0.4537419279 
1.5848931925 -0.9273937629 -2.9432428505 0.4418897363 
1.6595869074 -0.9423144479 -2.9993082539 0.4301361923 
1.7378008287 -0.9573767625 -3.0546397330 0.4184780523 
1.8197008586 -0.9725686199 -3.1091799805 0.4069134901 
1.9054607180 -0.9878737302 -3.1628742798 0.3954422566 
1.9952623150 -1.0032719997 -3.2156707638 0.3840657660 
2.0892961309 -1.0187400118 -3.2675206728 0.3727871095 
2.1877616239 -1.0342515684 -3.3183786048 0.3616110020 
2.2908676528 -1.0497782730 -3.3682027514 0.3505436681 
2.3988329190 -1.0652901330 -3.4169551138 0.3395926766 
2.5118864315 -1.0807561626 -3.4646016896 0.3287667353 
2.6302679919 -1.0961449686 -3.5111126264 0.3180754550 
2.7542287033 -1.1114253020 -3.5564623350 0.3075290964 
2.8840315031 -1.1265665643 -3.6006295592 0.2971383107 
3.0199517204 -1.1415392571 -3.6435973986 0.2869138830 
3.1622776602 -1.1563153693 -3.6853532845 0.2768664882 
3.3113112148 -1.1708686967 -3.7258889085 0.2670064671 
3.4673685045 -1.1851750951 -3.7652001069 0.2573436279 
3.6307805477 -1.1992126658 -3.8032867043 0.2478870767 
3.8018939632 -1.2129618795 -3.8401523208 0.2386450793 
3.9810717055 -1.2264056408 -3.8758041487 0.2296249553 
4.1686938347 -1.2395293025 -3.9102527042 0.2208330029 
4.3651583224 -1.2523206338 -3.9435115608 0.2122744538 
4.5708818961 -1.2647697512 -3.9755970704 0.2039534543 
4.7863009232 -1.2768690184 -4.0065280775 0.1958730702 
5.0118723363 -1.2886129223 -4.0363256324 0.1880353122 
5.2480746025 -1.2999979321 -4.0650127074 0.1804411772 
